,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
882,882,882.0,882,[Co(pybz)2]·2DMF<|>1·2DMF<|>1,DIDBEZ,Hydrogen Storage,Investigated,The H2 (at 77 K) and CH4 (at 298 K) uptake of 1 increased along with an increase of the pressure with a saturated uptake of about 212 cm3/g for H2 at 20 bar... It should be noted that the H2 uptake of 145 cm3/g at 1.0 bar for 1 is high compared to those for other MOFs with 1D channels.,10.1021/ic301857h,Hydrogen storage
894,894,894.0,894,Zn(4-pyridylacrylate)2<|>compound 3,ECIWAO,Optical Devices,Investigated,"We have carried out preliminary powder SHG studies using the 1064 nm fundamental wavelength from a Nd:YAG laser. Consistent with the single-crystal structures, compounds 3−5 are SHG-active... These results thus clearly illustrate the potential of the rational synthesis of highly NLO-active polar solids based on diamondoid structures.",10.1021/cm010301n,Nonlinear Optical (NLO) Materials
895,895,895.0,895,Cd(4-pyridylacrylate)2·H2O<|>compound 4,JUKXIW01,Optical Devices,Investigated,"In light of recent success in the construction of potentially useful metal−organic frameworks using strong and highly directional metal−ligand coordination bonds, we have decided to explore the rational synthesis of acentric metal−organic coordination networks that can be used for second-order NLO applications.",10.1021/cm010301n,Second-order nonlinear optical (NLO) applications
914,914,16.0,16,bio-MOF-11<|>bio-MOF-11.Co2+−adeninate−acetate,YUVSUE,Carbon Capture,Investigated,"The document discusses ""High and Selective CO2 Uptake in a Cobalt Adeninate Metal−Organic Framework Exhibiting Pyrimidine- and Amino-Decorated Pores"" and includes ""Adsorption isotherms for CO2 (circles) and N2 (triangles) at 273 (black) and 298 K (red).""",10.1021/ja909169x,CO2 uptake
916,916,18.0,18,PCN-15,FUTDII,Hydrogen Storage,Not Recommended,"In contrast, low pressure H2 isotherms in PCN-15 show limited H2 uptake (<40 cm3/g) after activation at 50 °C or even 150 °C (Supporting Information, Figure S4). The low uptake of N2 and H2 in PCN-15 indicates that it does not retain significant permanent porosity and may require the solvent to stabilize the structure.",10.1021/ic900217t,Hydrogen storage
927,927,29.0,29,1<|>compound 1,WUHJIT,Hydrogen Storage,Investigated,"The document discusses ""H2 adsorption isotherms"" and ""H2 adsorption enthalpy"" for compound 1, indicating that the material is being investigated for hydrogen storage applications. However, there is no explicit recommendation provided regarding its efficacy.",10.1021/ic901056d,Hydrogen storage
955,955,57.0,57,CAU-13(mX)<|>CAU-13(m-xylene),JIZWEW,Small Molecule Capture,Investigated,"The adsorption of o-, m-, and p-xylene as single components and mixtures was investigated using solutions of the adsorbate in mesitylene. From mixtures in the liquid phase, o-xylene is adsorbed preferentially.",10.1021/ic500288w,Separation of xylene isomers
956,956,58.0,58,CAU-13(oX)<|>CAU-13(o-xylene),JIZWIA,Small Molecule Capture,Investigated,"The adsorption of o-, m-, and p-xylene as single components and mixtures was investigated using solutions of the adsorbate in mesitylene. From mixtures in the liquid phase, o-xylene is adsorbed preferentially.",10.1021/ic500288w,Separation of xylene isomers
970,970,72.0,72,[Ni3(pyip)2(HCOO)2(H2O)2]<|>compound 1,JAMSEY,Magnetic Material,Investigated,"In this contribution, we reported the in situ formation of NiO nanoparticles within a MOF, namely, [Ni3(pyip)2(HCOO)2(H2O)2][n1; H2pyip = 5-(pyridine-4-yl)­isophthalic acid], to give a NiO@MOF composite. Detailed characterizations including powder and single-crystal X-ray diffraction, transmission electron microscopy (TEM), and magnetic susceptibility measurements were performed to study the structure and magnetic property for this NiO@MOF composite.",10.1021/acs.inorgchem.6b02376,Magnetism
986,986,88.0,88,compound 1<|>1,CAJQIP,Carbon Capture,Investigated,CO2 sorption isotherms for 1 and 2 at 258 K and (inset) isosteric heat of adsorption (Qst) for CO2 in 1 and 2.,10.1021/ja205658j,CO2 adsorption
987,987,89.0,89,compound 2<|>2,CAJQEL,Carbon Capture,Investigated,CO2 sorption isotherms for 1 and 2 at 258 K and (inset) isosteric heat of adsorption (Qst) for CO2 in 1 and 2.,10.1021/ja205658j,CO2 adsorption
1035,1035,137.0,137,1<|>compound 1,EWESIJ,Sensors,Investigated,"The document mentions ""Solvatochromic Behavior of a Nanotubular Metal−Organic Framework for Sensing Small Molecules.""",10.1021/ja109437d,Sensing Small Molecules
1043,1043,145.0,145,[Cd2(OH)(H2O)(C2H3N4)(SO4)]·2H2O<|>VI,OKITAE,Heterogeneous Catalysis,Recommended,The cyanosilylation heterogeneous catalytic studies suggest that the cadmium sulfate phases can be employed as an effective heterogeneous catalyst. The present study suggests that the sulfate compounds are active for the heterogeneous catalytic cyanosilylation of the imines.,10.1021/cg100865v,Heterogeneous catalysis
1049,1049,151.0,151,Cd(L)(H12O)(SO4)<|>compound 3,SOCHIC,Photoluminescence,Investigated,The emission band of 4 is mainly due to an intraligand emission state as reported for CdII or other d10 metal complexes with N-donor ligands. This indicates that the coordination polymers of L with d10 metals can be utilized as potential luminescent materials.,10.1021/cg700839p,Luminescent materials
1051,1051,153.0,153,[CoII3(pybz)2(lac)2]·6CH3OH<|>1·6CH3OH,JIZJEJ,Hydrogen Storage,Investigated,"In addition, 1 shows maximum H2 and CH4 uptake of 252 cm3g–1 (77 K, 40 bar) and 84.8 cm3g–1 (298 K, 39 bar), respectively (Figures and S8).",10.1021/ja500191r,Hydrogen storage
1055,1055,157.0,157,[Ga2(DETA)(PO4)2]·2H2O<|>NTHU-1,MIKJAR,Catalysis,Investigated,"The cobalt- or manganese-substituted NTHU-1 is expected to show high acidity, which, in combination with redox-active transition metal, could lead to possible catalytic activity.",10.1021/ja0100468,Catalysis
1060,1060,162.0,162,NOTT-105,PUBSAH,Hydrogen Storage,Investigated,"""NOTT-105, -106, and -107 incorporate fluorine or methyl substituents on the central phenyl rings of the ligand and are isostructural with NOTT-101. Such modifications afford materials with smaller pore volume and pore size than NOTT-101 due to the additional atoms occupying space within the framework, thus creating a higher overlap of potential curves and stronger H2−framework interactions. The stronger interactions lead to increased uptake at low coverage and are observed below 0.5 bar for NOTT-106, -107 and below 1 bar for NOTT-105 although the enhancements are small (<1 mg g−1) compared to NOTT-101.""",10.1021/ja806624j,Hydrogen storage
1062,1062,164.0,164,NOTT-106,PUBSEL,Hydrogen Storage,Investigated,"""NOTT-105, -106, and -107 incorporate fluorine or methyl substituents on the central phenyl rings of the ligand and are isostructural with NOTT-101. Such modifications afford materials with smaller pore volume and pore size than NOTT-101 due to the additional atoms occupying space within the framework, thus creating a higher overlap of potential curves and stronger H2−framework interactions. The stronger interactions lead to increased uptake at low coverage and are observed below 0.5 bar for NOTT-106, -107 and below 1 bar for NOTT-105 although the enhancements are small (<1 mg g−1) compared to NOTT-101.""",10.1021/ja806624j,Hydrogen storage
1067,1067,169.0,169,Mg-aph-MOF<|>[Mg4(adipate)4(DMA)(H2O)]·5DMA·2MeOH·4H2O,IFASOZ,Carbon Capture,Recommended,"To explore the advantages of the hierarchically nanoporous MgO with a nanocrystalline framework, we studied the behavior of np-MgO as a carbon dioxide gas adsorbent... We hypothesized that our np-MgO with hierarchical nanoporosity and structural robustness would be well suited for CO2 adsorbent with high capacity and recyclability.",10.1021/ja401869h,CO2 gas adsorption
1068,1068,170.0,170,{[Zn(L)(IPA)]·DMF}<|>complex 2,ETICAN,Water Purification,Recommended,"Interestingly, all the materials 1–6 exhibited greater ability to adsorb water with some differences. The H2O adsorption profile for all complexes found to be type-II and the amount of H2O adsorbed in complexes 1–6 up to P/Po ∼ 0.9 are 107, 134, 326, 225, 117, and 106 cc/g, respectively. The corresponding surface areas of 1–6 are 198, 252, 896, 778, 196, and 147 m2/g, respectively. It is interesting to note that the water sorption abilities are in accordance with linker sizes and network geometries.",10.1021/acs.cgd.6b01028,Water adsorption
1069,1069,171.0,171,{[Cd(L)(PDA)]·DMF·3H2O}<|>complex 5,ETICIV,Water Purification,Investigated,"Interestingly, the 3D-network containing complexes 5 (117 cc/g) and 6 (106 cc/g) have also shown the lower ability of water sorption than the 2D-network containing complexes of 1 and 2.",10.1021/acs.cgd.6b01028,Water vapor adsorption
1071,1071,173.0,173,Th(NDC)2<|>Th­(NDC)2,WIKGAB,Sensors,Investigated,"Autoluminescent MOFs featuring a porous structure may find applications as sensors, with guest species tuning the autoluminescence.",10.1021/jacs.8b07113,Sensors
1084,1084,186.0,186,{[Zn3(bipy)3(H2O)2][Fe(CN)6]2·2(bipy)·3H2O}<|>compound 1,BIQHEQ,Carbon Capture,Recommended,"Compounds 1 and 3 are fascinating from the structural point of view as they act as a biporous host. At 195 K, all the compounds selectively adsorb CO2 while they completely exclude other small molecules, such as N2, Ar, O2, and CH4. Moreover, the desolvated framework of 1 and 3 shows selectivity of CO2 over N2, indicating that they may serve as prototypes for future materials designed for CO2 capture processes.",10.1021/ic401657d,CO2 capture
1087,1087,189.0,189,[Zn4(O)(mip)3]<|>[Zn4(O)(mip)3(DMF)2]·3DMF·H2O,QOPZIF,Hydrogen Storage,Investigated,"The genuine virtue of [Zn4(O)(mip)3] as a porous MOF lies not on the rarity of the network topology but in the way the void spaces are developed... The H2 sorption of [Zn4(O)(mip)3] shows a considerable uptake of 236 cm3/g (STP) or 2.1 wt % at 77 K and 0.96 bar... Note that the absolute amount of H2 uptake is of less importance here because the isotherm is far from being saturated, and 77 K and 1 bar are not realistic storage conditions for H2 gas.",10.1021/ic801906e,Hydrogen storage
1117,1117,219.0,219,[Cd4Cu6(L)4(Ac)7(H2O)4]­(Ac)·7H2O<|>1,HAQKES,Carbon Capture,Recommended,"1 exhibits a significant uptake capacity for CO2 of 75.36 cm3g–1 at 273 K and 760 mmHg, which is not only better than that of TAF-1a (35 cm3g–1) but is also comparable to that of the well-known porous material ZIF-69 (70 cm3g–1, Langmuir surface area 1070 m2g–1) under similar conditions.",10.1021/acs.inorgchem.7b00267,CO2 uptake
1120,1120,222.0,222,Zn2(BPnDC)2(bpy)<|>SNU-9_as-made,VIVSEA,Gas Adsorbent Material,Investigated,"Crystalline porous materials (PCPs or MOFs), constructed from multidentate organic ligands and metal clusters using modular building concept, were widely studied during past decade because of their fascinating properties. Enormous surface areas and pore volumes make them excellent candidates to be used as gas storage materials.",10.1021/ic4024844,Gas storage materials
1122,1122,224.0,224,Zn2(BPnDC)2(bpy)<|>SNU-9_as-made,VIVSEA,Heterogeneous Catalysis,Investigated,Tunable pores open another field of application in separation processes and in heterogeneous catalysis.,10.1021/ic4024844,Heterogeneous catalysis
1123,1123,225.0,225,Zn2(BPnDC)2(bpy)<|>SNU-9_activated,VIVSIE,Gas Adsorbent Material,Investigated,"Crystalline porous materials (PCPs or MOFs), constructed from multidentate organic ligands and metal clusters using modular building concept, were widely studied during past decade because of their fascinating properties. Enormous surface areas and pore volumes make them excellent candidates to be used as gas storage materials.",10.1021/ic4024844,Gas storage materials
1124,1124,226.0,226,CO2@SNU-9,VIVXOP,Carbon Capture,Investigated,"The adsorption of CO2 at 195 K and N2 at 77 K proceeds in a different way: the formation of intermediate phase during the CO2 adsorption could be postulated, while the transformation from narrow pore form to the open structure occurs quasi in one step by nitrogen physisorption. The gas loaded compounds have also different final crystal structures at relative pressure around p/p0= 0.9.",10.1021/ic4024844,CO2 adsorption
1126,1126,228.0,228,compound 6<|>3D PCP,UXUPIN,Small Molecule Capture,Investigated,The concept of using the expandable layered PCP must improve the functionalities such as molecular storage and separation.,10.1021/ja201170c,Molecular storage and separation
1127,1127,229.0,229,compound 7<|>3D PCP,UXUNUX,Small Molecule Capture,Investigated,The 3D PCP shows the selective adsorption by the molecular sieving effect and quadrupole–hydrophilic surface interaction.,10.1021/ja201170c,Molecular storage and separation
1149,1149,251.0,251,LCu<|>LCu′,HAQJIV,Electrical Conductivity,Recommended,"Interestingly, framework LCu exhibits excellent ferroelectric properties with an electric hysteresis loop showing a remnant polarization (Pr) of ∼3.5 μC cm–2 and a coercive field (Ec) of ∼12 kV cm–1.",10.1021/acs.inorgchem.7b00342,Ferroelectric materials
1153,1153,255.0,255,"Zn(NDC)(4,4‘-Bpe)0.5·2.25DMF·0.5H2O<|>MOF1",RELLAW,Hydrogen Storage,Recommended,"""Porous metal−organic frameworks (MOFs) have been emerging as one type of the most promising materials for hydrogen storage because of their amenability to design and extraordinary permanent porosity."" ""The high hydrogen uptake in MOF1 at moderate pressures reveals the potential use of dynamic MOF materials for high-pressure hydrogen storage.""",10.1021/ic060437t,Hydrogen storage
1154,1154,256.0,256,MIL-68 (Ga)<|>Ga(OH)(O2C−C6H4−CO2)·0.9DMF·zH2O,LOQLIN,Hydrogen Storage,Investigated,"Hydrogen adsorption isotherms revealed uptakes of 2.46 wt % and 1.98 wt % for the gallium and indium phases, respectively.",10.1021/ic801624v,Hydrogen storage
1155,1155,257.0,257,MIL-68 (In)<|>In(OH)(O2C−C6H4−CO2)·1.0 DMF·zH2O,LOQLEJ,Hydrogen Storage,Investigated,"Hydrogen adsorption isotherms revealed uptakes of 2.46 wt % and 1.98 wt % for the gallium and indium phases, respectively.",10.1021/ic801624v,Hydrogen storage
1156,1156,258.0,258,2<|>2a,YUXQOY,Sensors,Investigated,PL intensities of 2a introduced into various pure solvents and (c) PL spectra of 2a acetonitrile emulsion in the presence of various amounts of H2O under λex= 362 nm.,10.1021/ja101541s,Fluorescence Sensing
1158,1158,260.0,260,Sm−Zn<|>{[Sm2(L)6Zn3(H2O)6]·1.5H2O},ODIMAQ,Hydrogen Storage,Investigated,"Sm−Zn represents the largest porous material among heterometallic coordination polymers and the first example used to investigate hydrogen adsorption. Sm−Zn possesses hydrogen storage capacity of up to 1.19 wt % at 77 K and 0.54 wt % at 298 K, respectively.",10.1021/ic070097r,Hydrogen storage
1169,1169,271.0,271,{[Zn(PDA)(H2O)1.5]}n<|>1a,GESFOA,Photoluminescence,Investigated,"Complexes 1 and 1a exhibit strong green fluorescent emission bands, and 4 exhibits emissions for ligands and Dy(III) centers, which renders them potential use as fluorescent materials.",10.1021/ic060550j,Fluorescent materials
1170,1170,272.0,272,{[Er(CAM)(H2O)3]·H2O}n<|>5,GESGAN,Photoluminescence,Investigated,"Complexes 1 and 1a exhibit strong green fluorescent emission bands, and 4 exhibits emissions for ligands and Dy(III) centers, which renders them potential use as fluorescent materials.",10.1021/ic060550j,Fluorescent materials
1179,1179,281.0,281,[Ni3(L1)5][PMo12O40]2·14H2O<|>compound 3,EXALIZ,Electrocatalysis,Recommended,"In this work, we studied the electrocatalytic reduction of nitrite at 1–CPE and 3–CPE in the acid solution... As can be seen from Figure, with the addition of nitrite, all the reduction peak currents increase markedly, while the corresponding oxidation peak currents decrease dramatically, which indicates that the two reduced species of SiW12 in 1–CPE and the three reduced species of PMo12 in 3–CPE all show good electrocatalytic activity toward the reduction of nitrite.",10.1021/cg200261j,Electrocatalytic reduction of nitrite
1180,1180,282.0,282,Zn(s-nip)2<|>compound 1,RUGFUW,Electrical Conductivity,Recommended,The discovery of ferroelectric properties of 1 and 2 contributes to open a new field in ferroelectric MOFs based on amino acid derivatives.,10.1021/cg5013796,Ferroelectric materials
1183,1183,285.0,285,Lu-ATA@RT,AWIBAL,Carbon Capture,Recommended,"High-pressure CO2 absorption results reveal that the three Lu-ATA supramolecular isomers possess narrow porosity, the maximum capacity follows the trend Lu-ATA@RT > Lu-ATA@100 > Lu-ATA@150, in agreement with the calculated pore volumes extracted from the crystallographic information.",10.1021/acs.cgd.6b00274,Carbon dioxide adsorption
1184,1184,286.0,286,Lu-ATA@100,AWIBEP,Carbon Capture,Investigated,"At carbon dioxide pressure up to 100 kPa, Lu-ATA@RT, Lu-ATA@100, and Lu-ATA@150 adsorb a similar amount, around 0.7, 0.65, and 0.59 mmol/g, respectively. It is important to notice that the removal of coordinated DMF molecules, which restricts the accessibility to a vacant pore space in Lu-ATA@100 and Lu-ATA@150 frameworks, is essential to obtain adsorption of carbon dioxide. When the pretreatment was carried out at 323 K, the materials did not show any uptake, in contrast the porosity was accessible if temperatures higher than 373 K were applied to pretreat the samples. At higher pressures the same trend is confirmed, Lu-ATA@150 being the material with lower adsorption capacity with a maximum value of 1.56 mmol/g at 2636 kPa. Lu-ATA@100 adsorbs a higher amount reaching 2.2 mmol/g at 2299 kPa.",10.1021/acs.cgd.6b00274,Carbon dioxide adsorption
1196,1196,298.0,298,JXNU-2(Sm),IKOTUZ,Carbon Capture,Recommended,"The sorption performance of JXNU-2(Sm) for CO2 prompted us to study the sorption of several fuel molecules such as CH4, C2H6, C3H8, and C2H2. At 273 K, JXNU-2(Sm) takes up less CH4 but adsorbs some amounts of C2H6, C3H8, and C2H2. Its uptake capacity for C2H6, C3H8, and C2H2 is 38.3, 60.7, and 79.1 cm3g–1 at 1 atm, respectively (Figure). A hysteresis profile is observed in the isotherms of C2H2, which indicates a strong interaction between the adsorbed C2H2 molecules and the sulfonate-containing pore surface.",10.1021/acs.inorgchem.6b00928,CO2 separation
1200,1200,302.0,302,{Zn-BTC}{n-Bu4N+},FUVBAB,Light Emitting Diodes,Investigated,"MOFs with luminescent functionality have attracted much effort in materials chemistry aimed toward applications in light-emitting and display devices, sensors for environmental or physical stimulations, and biomedical engineering.",10.1021/cg5006133,Light-emitting materials
1223,1223,325.0,325,[Ni(dpt24)]·4.5MeCN<|>compound 3<|>3,ILIMOH,Hydrogen Storage,Investigated,"H2 adsorption measurements of 1, 2, and 3 were also investigated at 77 K, which indicates a diminishing absorption trend as predicted above (Figure). The hydrogen sorption for 1 shows an unsaturated behavior with a maximum adsorption capacity of 155.9 cm3·g–1 or 1.0 wt % at 1 atm. In contrast, 2, as the tertiary supramolecular isomer of 1, shows hydrogen sorption capacity of 117.1 cm3·g–1 or 1.2 wt %, which is 39 cm3·g–1 less than that of 1, while compound 3, as the secondary isomer of 1/2, only presents 95.4 cm3·g–1 or 0.85 wt %, which is less of 60.5 and 21.7 cm3·g–1 than that of 1 and 2, respectively; but it is higher of 20 cm3·g–1 than isostructural [Co­(dpt24)2] reported elsewhere.",10.1021/acs.inorgchem.6b00081,Hydrogen adsorption
1224,1224,326.0,326,[Ni(dpt24)]·4.5MeCN<|>compound 3<|>3,ILIMOH,Carbon Capture,Investigated,"CO2 adsorption isotherms measured at 195 K for 1, 2, and 3, all of which exhibit type I isotherm. The saturated adsorption amount of 138.4 cm3(STP)·g–1 was measured for 1, and the unsaturated adsorption amount of 126.4 (saturated value of 136) and 107.3 (saturated value of 124) cm3·(STP)·g–1 were obtained for 2 and 3, respectively. It is showing the order of CO2 adsorption abilities is 1 > 2 > 3.",10.1021/acs.inorgchem.6b00081,CO2 adsorption
1225,1225,327.0,327,[Ni(dpt24)]·2DMF<|>compound 2<|>2,ILIMUN,Hydrogen Storage,Investigated,"""H2 adsorption measurements of 1, 2, and 3 were also investigated at 77 K, which indicates a diminishing absorption trend as predicted above (Figure). The hydrogen sorption for 1 shows an unsaturated behavior with a maximum adsorption capacity of 155.9 cm3·g–1 or 1.0 wt % at 1 atm. In contrast, 2, as the tertiary supramolecular isomer of 1, shows hydrogen sorption capacity of 117.1 cm3·g–1 or 1.2 wt %, which is 39 cm3·g–1 less than that of 1, while compound 3, as the secondary isomer of 1/2, only presents 95.4 cm3·g–1 or 0.85 wt %, which is less of 60.5 and 21.7 cm3·g–1 than that of 1 and 2, respectively; but it is higher of 20 cm3·g–1 than isostructural [Co­(dpt24)2] reported elsewhere.""",10.1021/acs.inorgchem.6b00081,Hydrogen adsorption
1234,1234,336.0,336,Gd(μ3-OH)(na)(pyzc)<|>Complex 3,DOZBEB,Magnetic Refrigeration,Recommended,"Complex 3 with the isotropic GdIII ion and weak antiferromagnetic coupling shows a significant cryogenic MCE, with a maximum entropy change of −ΔSm= 30.0J kg–1K–1 at 2.5 K and 70 kOe.",10.1021/ic501952b,Cryogenic magnetic refrigeration
1251,1251,353.0,353,UPC-8<|>Co-paddlewheel MOF,NASREH,Gas Adsorbent Material,Not Recommended,"The gas adsorptions of UPC-6 and UPC-8 have been measured for the first time, but they all show low adsorption performances due to the instability of their networks when solvents are removed from the axial of Zn/Co paddlewheels.",10.1021/acs.cgd.7b00118,Gas storage and separation
1252,1252,354.0,354,UPC-6<|>Zn-paddlewheel MOF,NASROR,Gas Adsorbent Material,Not Recommended,"The gas adsorptions of UPC-6 and UPC-8 have been measured for the first time, but they all show low adsorption performances due to the instability of their networks when solvents are removed from the axial of Zn/Co paddlewheels.",10.1021/acs.cgd.7b00118,Gas storage and separation
1256,1256,358.0,358,trans-[La­(HL)­(DMA)2]·DMA·2H2O,GUHNUU,Carbon Capture,Recommended,"""The reversible and selective molecular gating characteristics of these frameworks highlight potential sorption applications such as gas separation or molecular recognition."" Additionally, ""This gives rise to exceptional adsorption selectivity of cis-[Sm­(HL)­(DMA)2] for CO2 over other permanent gases (CH4, H2, O2, and N2) at high pressure and ambient temperature.""",10.1021/cm503533r,CO2 capture and separation
1272,1272,374.0,374,Zn3(BDC)3·6CH3OH<|>Zn3(BDC)3·2CH3OH<|>evacuated solid,PURSOK,Gas Adsorbent Material,Recommended,"In another experiment involving the exposure of the evacuated solid to gaseous amines, a clear preference to NH3, CH3NH2, and (CH3)2NH, with no evidence for the inclusion of (CH3)3N was observed.",10.1021/ja974172g,Separation of gaseous amines
1278,1278,380.0,380,[Cu4(bpm)2(N3)8]n<|>complex 1,IBOBOQ,Molecular Magnets,Investigated,"In conclusion, a new one-dimensional molecular railroad copper(II) azido complex containing a defective double cubane motif has been characterized from structural and magnetic points of view. The magnetic properties of 1 reveal a moderate ferromagnetic interaction between the copper(II) ions in agreement with previous studies concerning end-on azido-bridged copper(II) complexes which have been analyzed by DFT-type calculations. Finally, “cubane-like” systems showing ferromagnetic interactions are playing an important role in the field of molecular magnetism because of the interest in designing high-spin molecules.",10.1021/ic001406f,Molecular magnetism
1280,1280,382.0,382,PCN-26<|>Cu4(H2O)4(TDM)·xS<|>PCN-26·xS,GEGDED,Carbon Capture,Recommended,"Significantly, PCN-26-ac adsorbs CO2 over CH4 and N2 preferably with a CO2/N2 selectivity of 49:1 and a CO2/CH4 selectivity of 8.4:1 at 273 K.",10.1021/cm2008889,CO2/N2 and CO2/CH4 separation
1288,1288,390.0,390,CuReO4(pyz)<|>I,KIBCAA,Photocatalysis,Investigated,The optical properties of the copper−rhenate hybrids are analyzed with respect to their calculated electronic structures and to the isoelectronic silver−rhenate hybrid systems in order to discern the origin of their smaller band gap sizes and to evaluate their potential in photocatalytic reaction systems.,10.1021/ic061767g,Photocatalytic reactions
1289,1289,391.0,391,"Ba­(4,5-ImDCH)­(DMF)<|>Compound 2",IXUWUV,Optical Devices,Investigated,"Non-centrosymmetric (NCS) materials are of special importance due to their inherent properties such as pyroelectricity, piezoelectricity, ferroelectricity, and nonlinear optics (NLO).",10.1021/acs.cgd.6b01331,Nonlinear optics (NLO)
1290,1290,392.0,392,"Li2(4,5-ImDC-Me)<|>Compound 3",IXUXAC,Optical Devices,Investigated,"In addition, the fluorescent experiments showed that compounds 1–3 emitted a ligand-centered bright blue light under UV light, and the values of quantum yields (QY, Φ) were 14.68%, 16.26%, and 25.87% for 1–3, respectively.",10.1021/acs.cgd.6b01331,Nonlinear optics (NLO)
1304,1304,406.0,406,MOF-In2,LEKMIA,Drug Delivery,Not Recommended,"In striking contrast, similar titrations of 5-FU into the solution of MOF-In2 showed no chemical shift of F signals in the 19F NMR spectra. The finding suggests that the structure of MOF-In2 is not suitable to capture 5-FU molecules. The window of MOF-In2 is approximately 16.598 × 16.598 Å2 in diagonal line, which is larger than those two windows of MOF-In1 (12.503 × 8.546 and 8.601 × 6.121 Å2) and results in less steric hindrance of the guest molecule 5-FU. Moreover, the structure of MOF-In2 is 2-fold interpenetrating, which minimizes pore sizes and restricts porosity.",10.1021/acsami.7b09227,Drug Delivery
1309,1309,411.0,411,BIF-39-Cd<|>AuPd@BIF-39-Cd,CUGFOB,Catalysis,Recommended,"The document mentions ""A Rational Strategy To Construct a Neutral Boron Imidazolate Framework with Encapsulated Small-Size Au–Pd Nanoparticles for Catalysis,"" indicating that the MOF is recommended for catalysis applications.",10.1021/acs.inorgchem.5b00826,Catalysis
1310,1310,412.0,412,fsc-2-NDS<|>[Cu3(L2)4(NDS)],ZAHLIG,Carbon Capture,Investigated,"The variable PLDs of the fsc nets reported herein facilitate the systematic evaluation of the effect of the pore size on gas sorption properties. The CO2 uptakes of fsc-1-NDS, fsc-2-NDS, fsc-4-NDS, and fsc-5-NDS at 298 K and 1.0 atm were observed to be 88 cm3g–1 (99 cm3cm–3), 55 cm3g–1 (47 cm3cm–3), 62 cm3g–1 (46 cm3cm–3), and 73 cm3g–1 (61 cm3cm–3), respectively.",10.1021/acs.cgd.5b01632,Carbon Dioxide Capture
1311,1311,413.0,413,fsc-3-NDS<|>[Cu3(L3)4(NDS)],ZAHLEC,Carbon Capture,Not Recommended,"fsc-3-NDS was found to exhibit no permanent porosity, presumably because of framework collapse upon activation.",10.1021/acs.cgd.5b01632,Carbon Dioxide Capture
1312,1312,414.0,414,Zn(cpp)(H2O)<|>compound 1,FODDAF,Carbon Capture,Recommended,"Gas adsorption studies reveal that compounds 1 and 2 show selective adsorption of CO2 over other gases (N2, CH4) at low temperature, whereas 3 and 4 shows no uptake.",10.1021/cg500149s,CO2 adsorption
1313,1313,415.0,415,[Cu(cpp)(4-bpmh)]n·nH2O·nMeOH<|>compound 2,FODCOS,Carbon Capture,Recommended,"Gas adsorption studies reveal that compounds 1 and 2 show selective adsorption of CO2 over other gases (N2, CH4) at low temperature.",10.1021/cg500149s,CO2 adsorption
1314,1314,416.0,416,[In3O­(EBDC)1.5­(H2O)3]­[NO3]·​2DMF·​2­(CH3CN)·​0.75­(H2O)<|>compound 3,EQUNEL,Carbon Capture,Investigated,"Because of the charge reversal framework features of 3 and 4 (3 adopts an overall cationic framework, whereas 4 has an anionic framework), it is interesting to evaluate the impact of the pore size, shape, and the charge on the uptake and sorption energetics of H2 and CO2 adsorbates. 3 and 4 exhibit significant uptake capacity for CO2 and H2. The CO2 uptake at 273 K and 1 atm for 3 and 4 are 91.0 and 82.5 cm3/g, respectively (Figure). Although abundant MOF structures have been reported, MOFs with CO2 uptake > 90 cm3/g at 273 K and 1 atm are still scarce.",10.1021/acs.cgd.6b01031,Carbon dioxide capture
1315,1315,417.0,417,[In3O­(EBDC)1.5­(H2O)3]­[NO3]·​2DMF·​2­(CH3CN)·​0.75­(H2O)<|>compound 3,EQUNEL,Hydrogen Storage,Investigated,"Because of the charge reversal framework features of 3 and 4 (3 adopts an overall cationic framework, whereas 4 has an anionic framework), it is interesting to evaluate the impact of the pore size, shape, and the charge on the uptake and sorption energetics of H2 and CO2 adsorbates. 3 and 4 exhibit significant uptake capacity for CO2 and H2. In the case of H2, 3 and 4 revealed a storage capacity of 1.84 and 1.45 wt % at 77 K and 1 atm, respectively (Figure).",10.1021/acs.cgd.6b01031,Hydrogen storage
1316,1316,418.0,418,[(CH3)2NH2]­[In3O­(EBDC)1.5­(H2O)3]2­[In­(EBDC)]3·​8DMF·​13­(CH3CN)·​10­(H2O)<|>compound 4,EQUNIP,Carbon Capture,Recommended,"Both compounds 3 and 4 exhibit significant uptake capacity for CO2 and H2, and compound 4 displays improved sorption energetics due to its narrow pore size and charge effect compared to 3.",10.1021/acs.cgd.6b01031,Carbon dioxide capture
1317,1317,419.0,419,[(CH3)2NH2]­[In3O­(EBDC)1.5­(H2O)3]2­[In­(EBDC)]3·​8DMF·​13­(CH3CN)·​10­(H2O)<|>compound 4,EQUNIP,Hydrogen Storage,Recommended,"Both compounds 3 and 4 exhibit significant uptake capacity for CO2 and H2, and compound 4 displays improved sorption energetics due to its narrow pore size and charge effect compared to 3.",10.1021/acs.cgd.6b01031,Hydrogen storage
